"Production Type","2019 [MW]"
"Biomass","507"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","0"
"Fossil Gas","30266"
"Fossil Hard coal","9561"
"Fossil Oil","714"
"Fossil Oil shale","0"
"Fossil Peat","0"
"Geothermal","0"
"Hydro Pumped Storage","5645"
"Hydro Run-of-river and poundage","1156"
"Hydro Water Reservoir","19146"
"Marine","0"
"Nuclear","7117"
"Other","117"
"Other renewable","261"
"Solar","6751"
"Waste","538"
"Wind Offshore","0"
"Wind Onshore","22961"
"Total Grand capacity","104740"
